Lotnumber,Title,Brand,Type,Year,SerialNumber,Description
1,2016 Trumpf TruLaser 5040 6kW fiber laser cutting machine,Trumpf,TruLaser 5040,2016,,"Working range X/Y/Z-axis: 3.000/1.500/115mm
Accuracy positioning: 0.05mm
Control system: sinumerik 840D sl
Bed size LxW: 4.150x2.150mm
Machine dimensions LxWxH: 8.800x4.800x2.400mm
Machine weight: approximately 12.000 kg
Power on Hours: 40981
Equipped with: TruDisk 6001 laser unit, Riedel RL27/0 SR.02 cooler, camfil MF 8.6 filter exhaust unit, documentation"
2,2009 Trumpf TruMatic 7000 punch laser machine,Trumpf,TruMatic 7000,2009,A0150A0050,"Working range X/Y-axis: 3050/1550mm
Feed rate x/y-axis: 100/60 m/min
Maximum workpiece weight: 280 kg
Maximum sheet thickness: 8mm
Positioning accuracy: 0.1mm
Punch power: 220 kN
Laser power: 2700 W
Tool magazine positions: 21
Number of clamps: 4
Power on hours: 41429
Machine weight: approximately 23.000 kg
Equipped with: Riedel L15/21 cooler, Handte MF-B filter exhaust unit, safety Vance with sick laser curtain"
3,2009 Trumpf SheetMaster 7130 vacuum loader,Trumpf,SheetMaster,2009,N0140A0041,"Weight: approximately 5.000 kg
Machine dimensions LxWxH: 9.800x2.400x2.900mm
Maximum lifting capacity: 285 kg"
4,2006 FMG GBLK 20/40 sheet metal stock storage,FMG,GBLK 20/40,2006,06300,"Amount of places: 343 cassettes
Plate capacity LxW: 4.000x2.000mm
Maximum cap. / weight load pro cassette: 5T
Total surface area LxWxH: approximately 45.000x17.000x7.200mm
Operating system: siemens S7
Equipped with: FMG vacuum plate loader, 4x cassette in/out mover, 1x cassette picker, 3 control stations (possibility for 5 control stations), safety fence
Own weight single cassette: 0,5T
Overall installation approx. own weight incl. 343 cassettes: 675T
Residual sheet metal stock content not included"
6,2004 Trumpf TruBend 5130 CNC press brake,Trumpf,TruBend 5130,2004,B0504A0036,"Working length: 3.223mm
Opening height: 385mm
Stroke: 215mm
Press power: 1.300 kN
Machine dimensions LxWxH: 5.000x2.600x2.850mm
Machine weight: approximately 10.900 kg"
8,1986 promecam press brake,Promecam,,1987,IT2 100 30 262,"Working length: 3.050mm
Press power: 1.000 kN
Total dimensions LxWxH: 3.300x1.500x2.100mm
Equipped with: foot control, digital read out"
9,promecam RG 25 press brake,Promecam,RG 25,1,,"Working length: 1.200mm
Total dimensions LxWxH: 1.400x850x1.800mm"
10,2010 Emmegi T3 Star CNC profile machining center,Emmegi,T3 Star,2010,111357,"X/Y/Z-axis travel: 4.300/270/300mm
A-axis capacity: -90°/+90°
Rapid traverse X/Y/Z-axis: 56/22/22 m/min
Tool changer positions: 8
Tool type: HSK 63F
Spindle speed: 20.000 rpm
Control system: Celeron M ETX 800MHz
Machine weight: 1.900 kg
Total machine dimensions LxWxH: 5.830x1.600x2.020mm
Equipped with: Absolent oil mist filter"
11,2010 Bystronic ByJet Classic 3015 CNC waterjet,Bystronic,ByJet Classic 3015,2010,10037135,"X/Y/Z-axis travel: 3.048/1.524/250mm
X/Y-axis rapid traverse: 84 m/min
Maximum operating pressure: 3.800 bar
Maximum material thickness: 200mm
Bed size LxW: 3.000x1.500mm
Maximum workpiece load: 790 kg/m2
Positioning accuracy: 0,08mm
Pump type: Bypump 50 APC
Machine dimensions LxWxH: 5.100x3.450x2.200mm"
12,2005 Fladder AUT-1000 VAC deburring machine,Fladder,AUT-1000 VAC,2005,1295,"Maximum workpiece hight: 100mm
Maximum workpiece width: 1000mm
Amount of grinders: 6
Machine weight: approximately 1500 kg
Machine dimensions LxWxH: 1.800x1.700x2.100mm"
13,1982 Raskin R52P punching machine,Raskin,R52P,1982,91455,"Machine dimensions LxWxH: 3.800x1.900x2.050mm
Power on hours: 13.608
Equipped with DNC 60 X control system"
14,2008 Alme edgmill 500 edge milling machine,Alme,edgmill 500,2008,2257,"Spindle speed: 2.000 - 5.500 rpm
Minimum workpiece hight: 3mm
Maximum workpiece hight: 100mm
Milling angle: 30°-60°
Machine dimensions LxWxH: 2.450x1.300x1.600mm
Machine weight: 500 kg"
15,1990 Tensol KSA 1250-1.25-K Bending line,Tensol,KSA 1250-1.25-K,1990,,"Capacity WxT: 1250x1.25mm
Total machine dimensions LxWxH: 2.000x1.900x1.200mm
Line build-up: straitening, bending, punching, cutting"
16,peddinghaus 210/13 ironworker,Peddinghaus,210/13,,959,"Punching force: 50 tons
Machine weight: approximately 1.700 kg
Machine dimensions LxWxH: 1.500x950x1.850mm"
17,2000 Bomar STG 260 GA bandsaw,Bomar,STG 260 GA,2000,047,"Sawing capacity WxH: 1.720x1.560mm
Blade size: 3.800x0,9x25mm
In/out-going conveyor length: 4.000/4.000mm
Machine weight: 860 kg
Machine dimensions LxWxH: 1.700x1.950x1.800mm
Equipped with: Mecan-Europa measuring system"
18,kunz edge cleaner,Kunz,,,,Dimensions LxWxH: 1700x800x1250mm
19,2008 Fomindustrie DUMBO sawing machine,Fomindustrie,DUMBO,2008,XZ 10085,"Maximum speed: 3500 rpm
Blade size: 300mm
Own weight 110kg
Machine dimensions LxWxH: 650x650x1020mm
Equipped with 2x roller track
Roller Track length: 2000mm"
20,2009 Fomindustrie MISTRAL 26A end milling machine,Fomindustrie,MISTRAL 26A,2009,FO101093,"Maximum speed: 7000 rpm
Blade size: 175mm
Own weight 187kg
Machine dimensions LxWxH: 750x1050x1500mm
Including cabinet"
21,2011 emmegi SCA 450 sawing maching,emmegi,SCA 450,2011,C112746,"Maximum speed: 2890 rpm
Blade size: 450mm
Machine dimensions LxWxH: 1400x1000x1550mm
Equipped with: Microbo 4200 DX feeder, staedler filter exhaust unit, 3000mm out-going roller track"
22,emco lathe,emco,,,,"Spindle speed 55-2200 rpm
Distance between centers: 600mm
Maximum turning diameter over the bed: 280mm
Spindle bore size: 26mm
Total dimensions LxWxH: 1300x700x1200mm"
23,Belt saw,,,,,"Dimensions LxWxH: 1200x750x2200mm
Table size LxW: 740x630mm
Including spare saw blade"
24,1987 R.Borer-Hänggi AOS Guillotine shear,R.Borer -Hänggi,AOS,1987,113,"Cutting capacity: 3100/5
Strokes per minute : 40
PS Motor 5,5 
Rotational speed : 2800
Table width : 3000mm
Weight : 5600 kg
Total dimensions: 3600 x 1650x1700"
25,1983 Boschert 25/500 punching machine,Boschert,25/500,1983,88,"L: 170cm X W:130cm X H:150cm;
Cabinet with adapters included;
Controlpannel included;"
26,Rudolf Frey WHP15 C-frame press,Rudolf Frey,WHP15,,,"Total dimensions:1250x720x2560
Pressure: 15 ton"
27,1995 Rudolf Frey 911/A hydraulic press,Rudolf Frey,911/A,1995,927,"Capacity : 100 T
Total dimensions : 1300x900x2100"
28,2-roll Platewals,,,,,"Total dimensions : 3200x900x160
Comes with roller system"
29,Cone shape bending machine,,,,,Total dimensions: 2600x12500x1980
30,Hydraulic unit,,,,,Total dimensions: 1100x600x135
31,Debrunner mobile Flott BSM 75 Belt grinder,Debrunner,Flott BSM 75,,50371005022,"Electrical connection : 400V , 50 Hz ;
Sanding belt : 75x2000;
Total dimensions : 1150x580x1150;"
32,Debrunner Flott BSM 75 Belt grinder,Debrunner,Flott BSM 75,,430750031,"Electrical connection : 400V , 50 Hz 
Total dimensions : 1150x580x1150"
33,RAS 12.30 swaging machine,Reinhardt Maschinebau RAS,12.30,,244/7,"Total dimension: 600x450x1400
Weight : 200 kg"
34,Stephan Bader & co Belt grinder,Stephan Bader & co,Bader space saver,,,Total dimensions: 1400x550x1730
35,Reinhardt Maschinebau RAS 21.20 flanging machine,Reinhardt Maschinebau RAS,21.20,,243/3,"Total dimension: 550x550x850
Weight : 200 kg"
36,AJF C1 englisch wheel,"Aug. Joos, Frauenfeld (AJF)",C1,,13391,"PS : 3
Tour : 750
Total dimensions: 1300x600x1550"
37,Serva-techniek SHE 11 432 compressor,Serva-techniek,SHEE 11 432,,3051,"Operating pressure : 15 atm
Capacity : 330 lt 
Total dimensions: 1800x700x145"
38,Spiegel RAS 64.25 folding machine,spiegel,RAS 64.25,,91/1,"L: 3500mm x W: 1300mm x H: 1400mm;
Power 380v;"
39,Feba folding machine,feba,,,,L:1700mm x W: 700mm x H: 1200mm;
40,Swaging machine,unknown,,,,L: 1200mm x W:500mm x H: 1300mm;
41,Hullus 181.C Swaging machine,Hullus,181.C,,87.2.10,L:1000mm x W:300mm x H: 1450mm;
42,Hullus 181 C.V. Swaging machine,Hullus,181 C.V.,,91.01.01,L: 1100mm x W: 450mm x H: 1400mm;
