Lotnumber,StartingBid
1,75000
2,50000
3,2500
4,15000
6,15000
8,500
9,250
10,10000
11,5000
12,500
13,500
14,500
15,250
16,250
17,500
18,250
19,250
20,250
21,500
22,250
23,100
24,500
25,250
26,50
27,50
28,250
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,100
39,50
40,50
41,50
42,50
43,50
44,500
45,50
46,250
47,50
48,250
49,500
50,250
51,250
52,250
53,100
54,250
55,250
56,100
57,250
58,500
59,50
60,250
61,2500
62,5000
63,3000
64,2500
65,250
66,500
67,500
68,500
69,250
70,250
71,250
72,250
73,250
74,250
75,250
76,250
77,250
78,250
79,250
80,250
81,250
82,250
83,250
84,250
85,250
86,250
87,250
88,250
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,10
100,50
101,50
102,50
103,50
104,10
105,10
106,10
107,10
108,10
109,50
110,50
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,50
124,50
125,50
126,250
127,250
128,250
129,250
130,250
131,50
132,50
133,50
134,250
135,50
136,250
137,250
138,50
139,50
140,50
141,50
142,50
143,50
144,250
145,50
146,250
147,50
148,50
149,50
150,50
151,50
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,500
178,250
179,10000
180,250
181,250
182,50
183,10
184,250
185,250
186,250
187,250
188,250
189,250
190,250
191,250
192,250
193,250
194,250
195,250
196,250
197,500
198,250
199,250
200,250
201,250
202,250
203,250
204,250
205,250
206,100
207,100
208,100
209,250
210,100
211,100
212,100
213,100
214,100
215,100
216,50
217,100
218,100
219,100
220,100
221,100
223,50
224,100
225,50
226,100
227,50
228,50
229,50
230,50
237,50
244,250
245,10
246,10
247,100
248,50
249,100
250,100
251,250
252,250
253,250
254,250
255,250
256,250
257,50
258,10
259,10
260,10
261,250
262,50
263,50
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,50
272,50
273,10
274,250
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,50
283,10
284,50
285,10
286,10
287,10
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,50
296,50
297,50
298,50
299,50
300,250
301,50
302,50
303,10
304,10
305,10
306,10
307,10
308,10
309,10
310,10
311,10
312,10
313,10
314,10
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,10
325,10
326,10
327,10
329,10
330,10
331,10
332,10
333,10
334,10
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,10
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,10
351,10
352,10
353,10
354,10
355,10
356,10
357,10
358,10
359,10
360,10
361,10
362,10
363,10
364,10
365,10
366,10
367,10
368,10
369,10
370,10
371,10
372,10
373,10
374,10
375,10
376,10
377,10
378,10
379,10
380,250
381,10
382,10
383,10
384,10
385,10
386,10
387,10
388,10
389,10
390,10
391,10
392,10
393,10
394,10
395,50
396,10
397,50
398,50
399,50
400,10
401,10
402,50
403,250
404,50
405,50
406,10
407,10
408,10
409,10
410,10
411,10
412,50
413,10
414,10
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,10
426,500
427,250
428,10
429,10
430,10
431,10
432,10
433,10
434,10
435,10
436,10
437,10
438,10
439,10
440,10
441,10
442,10
443,10
