Lotnumber,Expected Subcategory,Found Subcategory
14,Milling machines,Bending & folding machines
20,Milling machines,"Machine parts, tools & accessories"
30,Various hydraulic machines,Vertical machining centers
33,swaging machines,Sawing machines
36,Wheeling machine,Processing machines
38,Folding machines,Bending & folding machines
39,Folding machines,Bending & folding machines
40,Swaging machines,Sawing machines
41,Swaging machines,Sawing machines
42,Swaging machines,Sawing machines
43,Swaging machines,Sawing machines
46,Swaging machines,Sawing machines
56,Various metalworking machines,Various metalworking
57,Various metalworking machines,Various metalworking
104,Welding parts & accessoires,Welding parts & accessories
105,Welding parts & accessoires,Welding parts & accessories
106,Welding parts & accessoires,Welding parts & accessories
107,Welding parts & accessoires,Welding parts & accessories
108,Welding parts & accessoires,Welding parts & accessories
109,Welding parts & accessoires,Welding parts & accessories
110,Welding parts & accessoires,Welding parts & accessories
111,Welding parts & accessoires,Welding parts & accessories
112,Welding parts & accessoires,Welding parts & accessories
113,Welding parts & accessoires,Welding parts & accessories
114,Welding parts & accessoires,Welding parts & accessories
115,Welding parts & accessoires,Welding parts & accessories
116,Welding parts & accessoires,Welding parts & accessories
117,Welding parts & accessoires,Welding parts & accessories
118,Welding parts & accessoires,Welding parts & accessories
119,Welding parts & accessoires,Welding parts & accessories
120,Welding parts & accessoires,Welding parts & accessories
121,Welding parts & accessoires,Welding parts & accessories
122,Welding parts & accessoires,Welding parts & accessories
123,Welding parts & accessoires,Welding parts & accessories
124,Welding parts & accessoires,Welding parts & accessories
125,Welding parts & accessoires,Welding parts & accessories
126,Welding parts & accessoires,Welding parts & accessories
147,Welding parts & accessoires,Welding parts & accessories
148,Welding parts & accessoires,Welding parts & accessories
149,Welding parts & accessoires,Welding parts & accessories
150,Welding parts & accessoires,Welding parts & accessories
151,Welding parts & accessoires,Welding parts & accessories
152,Welding parts & accessoires,Welding parts & accessories
153,Welding parts & accessoires,Welding parts & accessories
154,Welding parts & accessoires,Welding parts & accessories
155,Welding parts & accessoires,Welding parts & accessories
